Departamento,date,sum_ValorObservado
<nil>,2013-10-22,5.300000000000001
<nil>,2013-10-23,9.554166666666667
<nil>,2013-10-24,11.0375
<nil>,2013-10-25,10.708333333333334
<nil>,2013-10-26,10.149999999999997
<nil>,2013-10-27,9.891666666666667
<nil>,2013-10-28,10.250000000000002
<nil>,2013-10-29,11.462499999999997
<nil>,2013-10-30,10.166666666666668
<nil>,2013-10-31,9.279166666666665
<nil>,2013-11-01,9.395833333333334
<nil>,2013-11-02,10.620833333333332
<nil>,2013-11-03,9.625000000000002
<nil>,2013-11-04,9.5875
<nil>,2013-11-05,9.720833333333333
<nil>,2013-11-06,9.975
<nil>,2013-11-07,10.4625
<nil>,2013-11-08,10.958333333333334
<nil>,2013-11-09,10.479166666666666
<nil>,2013-11-10,10.533333333333333
<nil>,2013-11-11,10.783333333333333
<nil>,2013-11-12,10.4625
<nil>,2013-11-13,11.275
<nil>,2013-11-14,11.008333333333333
<nil>,2013-11-15,11.9
<nil>,2013-11-16,11.783333333333333
<nil>,2013-11-17,10.408333333333331
<nil>,2013-11-18,9.979166666666666
<nil>,2013-11-19,9.612500000000002
<nil>,2013-11-20,10.566666666666668
<nil>,2013-11-21,10.216666666666663
<nil>,2013-11-22,11.204166666666666
<nil>,2013-11-23,10.054166666666665
<nil>,2013-11-24,9.516666666666667
<nil>,2013-11-25,9.433333333333334
<nil>,2013-11-26,9.725
<nil>,2013-11-27,9.583333333333334
<nil>,2013-11-28,10.454166666666667
<nil>,2013-11-29,10.083333333333334
<nil>,2013-11-30,10.425
<nil>,2013-12-01,10.391666666666666
<nil>,2013-12-02,10.433333333333332
<nil>,2013-12-03,10.2125
<nil>,2013-12-04,9.899999999999997
<nil>,2013-12-05,9.495833333333335
<nil>,2013-12-06,10.379166666666666
<nil>,2013-12-07,9.995833333333332
<nil>,2013-12-08,9.812499999999998
<nil>,2013-12-09,10.458333333333334
<nil>,2013-12-10,9.783333333333335
<nil>,2013-12-11,10.208333333333334
<nil>,2013-12-12,10.249999999999998
<nil>,2013-12-13,10.595833333333333
<nil>,2013-12-14,11.450000000000001
<nil>,2013-12-15,11.137500000000001
<nil>,2013-12-16,10.329166666666667
<nil>,2013-12-17,10.566666666666666
<nil>,2013-12-18,10.341666666666667
<nil>,2013-12-19,11.583333333333334
<nil>,2013-12-20,10.954166666666667
<nil>,2013-12-21,10.412499999999998
<nil>,2013-12-22,8.879166666666668
<nil>,2013-12-23,11.016666666666667
<nil>,2013-12-24,10.391666666666667
<nil>,2013-12-25,10.387500000000001
<nil>,2013-12-26,11.004166666666665
<nil>,2013-12-27,11.308333333333335
<nil>,2013-12-28,10.733333333333334
<nil>,2013-12-29,10.924999999999999
<nil>,2013-12-30,11.783333333333331
<nil>,2013-12-31,11.495833333333332
<nil>,2014-01-01,10.6
<nil>,2014-01-02,12.283333333333333
<nil>,2014-01-03,11.604166666666666
<nil>,2014-01-04,10.8125
<nil>,2014-01-05,10.049999999999999
<nil>,2014-01-06,10.304166666666665
<nil>,2014-01-07,9.920833333333333
<nil>,2014-01-08,11.083333333333334
<nil>,2014-01-09,11.958333333333334
<nil>,2014-01-10,12.191666666666668
<nil>,2014-01-11,12.491666666666665
<nil>,2014-01-12,10.8125
<nil>,2014-01-13,11.708333333333334
<nil>,2014-01-14,11.283333333333337
<nil>,2014-01-15,11.091666666666663
<nil>,2014-01-16,10.4125
<nil>,2014-01-17,12.700000000000003
<nil>,2014-01-18,12.35416666666667
<nil>,2014-01-19,11.4625
<nil>,2014-01-20,11.83333333333333
<nil>,2014-01-21,11.408333333333337
<nil>,2014-01-22,10.320833333333335
<nil>,2014-01-23,10.654166666666667
<nil>,2014-01-24,11.85416666666667
<nil>,2014-01-25,11.083333333333334
<nil>,2014-01-26,10.079166666666667
<nil>,2014-01-27,11.095833333333333
<nil>,2014-01-28,11.916666666666666
<nil>,2014-01-29,11.754166666666668
<nil>,2014-01-30,11.879166666666665
<nil>,2014-01-31,11.754166666666668
<nil>,2014-02-01,11.070833333333333
<nil>,2014-02-02,11.400000000000004
<nil>,2014-02-03,11.658333333333331
