Departamento,year,month,agg_ValorObservado
AMAZONAS,2011,8,26.107671232876715
AMAZONAS,2011,9,26.034851936218683
AMAZONAS,2011,11,27.39999999999999
AMAZONAS,2011,12,10.218832391713743
AMAZONAS,2012,1,9.009665427509294
AMAZONAS,2012,2,25.450445103857565
AMAZONAS,2012,3,25.36791666666668
AMAZONAS,2012,4,25.668854748603355
AMAZONAS,2012,5,25.663574351978173
AMAZONAS,2012,6,25.073906911142455
AMAZONAS,2012,7,22.628307692307693
AMAZONAS,2012,8,0.6801470588235295
AMAZONAS,2012,9,4.9071428571428575
AMAZONAS,2012,10,3.9485294117647065
AMAZONAS,2012,11,24.00583038869258
AMAZONAS,2012,12,26.160959999999996
AMAZONAS,2013,1,26.403703703703705
AMAZONAS,2013,2,25.778347107438016
AMAZONAS,2013,3,26.39986244841816
AMAZONAS,2013,4,26.336058394160585
AMAZONAS,2013,5,26.061581137309293
AMAZONAS,2013,6,25.796918767507
AMAZONAS,2013,7,24.755107526881716
AMAZONAS,2013,8,25.204582210242588
AMAZONAS,2013,9,26.40651230101303
AMAZONAS,2013,10,26.436149584487538
AMAZONAS,2013,11,26.22330935251799
AMAZONAS,2013,12,26.486305278174044
AMAZONAS,2014,1,26.185734265734276
AMAZONAS,2014,2,26.10943089430895
AMAZONAS,2014,3,26.053560830860533
AMAZONAS,2014,4,25.947500000000005
AMAZONAS,2014,5,25.85712309820193
AMAZONAS,2014,6,25.637674418604657
AMAZONAS,2014,7,25.0610465116279
AMAZONAS,2014,8,25.847569721115537
AMAZONAS,2014,9,25.984662576687118
AMAZONAS,2014,10,26.138100961538456
AMAZONAS,2014,11,26.532185430463574
AMAZONAS,2014,12,26.26671159029649
AMAZONAS,2015,1,25.558720930232553
AMAZONAS,2015,2,26.142278860569707
AMAZONAS,2015,3,25.983259911894272
AMAZONAS,2015,4,26.153108108108103
AMAZONAS,2015,5,25.983467741935474
AMAZONAS,2015,6,25.947972027972032
AMAZONAS,2015,7,25.92645861601086
AMAZONAS,2015,8,26.561185983827485
AMAZONAS,2015,9,27.426375176304653
AMAZONAS,2015,10,26.866129032258065
AMAZONAS,2015,11,26.95919421487603
AMAZONAS,2015,12,26.316655196145906
AMAZONAS,2016,1,26.856183206106873
AMAZONAS,2016,2,23.03432835820896
AMAZONAS,2016,3,26.39370277078086
AMAZONAS,2016,4,26.36248256624825
AMAZONAS,2016,5,26.788184931506848
AMAZONAS,2016,6,25.181620314389363
AMAZONAS,2016,7,25.62625264643614
AMAZONAS,2016,8,26.27187279151943
AMAZONAS,2016,9,26.100731528895388
AMAZONAS,2016,10,26.386545199719702
AMAZONAS,2016,11,26.72904148783977
AMAZONAS,2016,12,25.44829683698297
AMAZONAS,2017,1,25.19664948453608
AMAZONAS,2017,2,25.527977044476337
AMAZONAS,2017,3,25.770272156315418
AMAZONAS,2017,4,25.72594405594406
AMAZONAS,2017,5,25.870539986329458
AMAZONAS,2017,6,25.508762886597946
AMAZONAS,2017,7,25.189378612716755
AMAZONAS,2017,8,26.162334954829742
AMAZONAS,2017,9,26.180273578113752
AMAZONAS,2017,10,25.90812457684496
AMAZONAS,2017,11,25.933873343151696
