Departamento,year,day,agg_ValorObservado
AMAZONAS,2017,11,24.116666666666664
AMAZONAS,2017,12,25.176000000000002
AMAZONAS,2017,13,26.347999999999992
AMAZONAS,2017,14,25.445833333333336
AMAZONAS,2017,15,25.529166666666665
AMAZONAS,2018,1,23.82333333333334
AMAZONAS,2018,2,26.36666666666667
AMAZONAS,2018,3,27.13076923076923
AMAZONAS,2018,4,26.870370370370367
AMAZONAS,2018,5,26.89642857142857
AMAZONAS,2018,6,26.157692307692304
AMAZONAS,2018,7,23.050000000000004
AMAZONAS,2018,8,25.028
AMAZONAS,2018,9,24.46923076923077
AMAZONAS,2018,10,24.507999999999992
AMAZONAS,2018,11,24.682142857142857
AMAZONAS,2018,12,25.146428571428565
AMAZONAS,2018,13,25.375999999999998
AMAZONAS,2018,14,25.35925925925926
AMAZONAS,2018,15,24.781481481481478
AMAZONAS,2019,1,24.897727272727273
AMAZONAS,2019,2,24.591111111111104
AMAZONAS,2019,3,24.22954545454546
AMAZONAS,2019,4,24.385416666666668
AMAZONAS,2019,5,23.9304347826087
AMAZONAS,2019,6,24.826190476190472
AMAZONAS,2019,7,24.958823529411767
AMAZONAS,2019,8,22.999999999999993
AMAZONAS,2019,9,23.808510638297868
AMAZONAS,2019,10,24.64444444444444
AMAZONAS,2019,11,26.313333333333325
AMAZONAS,2019,12,24.295744680851055
AMAZONAS,2019,13,24.535555555555554
AMAZONAS,2019,14,25.79787234042553
AMAZONAS,2019,15,24.6304347826087
AMAZONAS,2020,1,25.426086956521736
AMAZONAS,2020,2,26.004878048780483
AMAZONAS,2020,3,26.162222222222223
AMAZONAS,2020,4,26.688372093023254
AMAZONAS,2020,5,28.06666666666667
AMAZONAS,2020,6,28.61463414634146
AMAZONAS,2020,7,27.964285714285715
AMAZONAS,2020,8,27.195348837209306
AMAZONAS,2020,9,26.378723404255314
AMAZONAS,2020,10,24.970212765957445
AMAZONAS,2020,11,24.24893617021276
AMAZONAS,2020,12,25.448936170212768
AMAZONAS,2020,13,25.091666666666665
AMAZONAS,2020,14,25.71666666666667
AMAZONAS,2020,15,26.208510638297877
AMAZONAS,2021,1,25.839583333333337
AMAZONAS,2021,2,25.56808510638297
AMAZONAS,2021,3,26.231111111111108
AMAZONAS,2021,4,24.773684210526316
AMAZONAS,2021,9,25.97179487179487
AMAZONAS,2021,10,26.34358974358974
AMAZONAS,2021,11,26.924390243902437
AMAZONAS,2021,12,26.476744186046513
AMAZONAS,2021,13,24.765909090909087
AMAZONAS,2021,14,26.1375
AMAZONAS,2021,15,26.733333333333334
AMAZONAS,2023,3,24.658333333333335
AMAZONAS,2023,4,25.670833333333334
AMAZONAS,2023,5,25.51739130434783
AMAZONAS,2023,6,23.700000000000003
AMAZONAS,2023,7,24.787499999999998
AMAZONAS,2023,8,23.15833333333333
AMAZONAS,2023,9,23.566666666666663
AMAZONAS,2023,10,25.741666666666664
AMAZONAS,2023,11,24.32083333333333
AMAZONAS,2023,12,22.6125
AMAZONAS,2023,13,23.55416666666667
AMAZONAS,2023,14,25.874999999999996
AMAZONAS,2023,15,22.94090909090909
AMAZONAS,2024,1,24.185294117647047
AMAZONAS,2024,2,25.541416893732986
AMAZONAS,2024,3,26.28370473537603
AMAZONAS,2024,4,24.95256797583083
AMAZONAS,2024,5,22.23604488078542
AMAZONAS,2024,6,24.636363636363626
AMAZONAS,2024,7,24.37285067873302
AMAZONAS,2024,8,22.79825918762089
AMAZONAS,2024,9,25.251876019575857
AMAZONAS,2024,10,22.79890859481584
AMAZONAS,2024,11,24.266302367941734
AMAZONAS,2024,12,25.23597246127368
AMAZONAS,2024,13,23.935343618513315
AMAZONAS,2024,14,24.858345021037852
AMAZONAS,2024,15,23.664366197183096
AMAZONAS,2025,1,25.03930481283427
AMAZONAS,2025,2,25.31967871485951
AMAZONAS,2025,3,26.426897470040014
AMAZONAS,2025,4,25.599197860962533
AMAZONAS,2025,5,25.80909090909083
AMAZONAS,2025,6,25.9634308510638
AMAZONAS,2025,7,26.779415670650792
AMAZONAS,2025,8,26.76331994645236
AMAZONAS,2025,9,26.232176234979892
AMAZONAS,2025,10,27.461599999999905
AMAZONAS,2025,11,27.15613333333335
AMAZONAS,2025,12,27.58891855807761
AMAZONAS,2025,13,25.920523415978032
AMAZONAS,2025,14,25.684139784946247
AMAZONAS,2025,15,27.730522088353318
ANTIOQUIA,2005,1,17.655188679245285
ANTIOQUIA,2005,2,19.69495798319328
ANTIOQUIA,2005,3,22.030241935483875
ANTIOQUIA,2005,4,22.2311203319502
ANTIOQUIA,2005,5,21.510666666666665
ANTIOQUIA,2005,6,21.446320346320345
ANTIOQUIA,2005,7,21.95900383141762
ANTIOQUIA,2005,8,22.579310344827594
ANTIOQUIA,2005,9,22.457894736842107
ANTIOQUIA,2005,10,22.004878048780487
ANTIOQUIA,2005,11,22.319318181818176
ANTIOQUIA,2005,12,22.52480916030534
ANTIOQUIA,2005,13,21.985999999999994
ANTIOQUIA,2005,14,22.60266159695818
