,cat__Departamento_AMAZONAS,cat__Departamento_ANTIOQUIA,cat__Departamento_ARAUCA,cat__Departamento_ATLANTICO,cat__Departamento_BOGOTA,cat__Departamento_BOLIVAR,cat__Departamento_BOYACA,cat__Departamento_CALDAS,cat__Departamento_CAQUETA,cat__Departamento_CASANARE,cat__Departamento_CAUCA,cat__Departamento_CESAR,cat__Departamento_CHOCO,cat__Departamento_CORDOBA,cat__Departamento_CUNDINAMARCA,cat__Departamento_GUAINIA,cat__Departamento_GUAVIARE,cat__Departamento_HUILA,cat__Departamento_LA GUAJIRA,cat__Departamento_MAGDALENA,cat__Departamento_META,cat__Departamento_NARINO,cat__Departamento_NORTE DE SANTANDER,cat__Departamento_PUTUMAYO,cat__Departamento_QUINDIO,cat__Departamento_RISARALDA,cat__Departamento_SAN ANDRES PROVIDENCIA,cat__Departamento_SANTANDER,cat__Departamento_SUCRE,cat__Departamento_TOLIMA,cat__Departamento_VALLE DEL CAUCA,cat__Departamento_VAUPES,cat__Departamento_VICHADA,num__Year,num__Month,num__Rain_month,num__Temp_month,num__Humi_month,num__Day_primary,num__Day_secondary,num__Rain_day_prim,num__Temp_day_prim,num__Humi_day_prim,num__Rain_day_sec,num__Temp_day_sec,num__Humi_day_sec,num__Rain_day_avg,num__Temp_day_avg,num__Humi_day_avg,Departamento
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,9.0,855.2037167985259,25.98384614510926,86.39488210440234,9.0,16.0,26.955169668492815,21.749081265402197,73.85974452495324,25.29294339652211,21.678550915068264,71.67988643921382,27.136276218238223,21.76894296173842,72.6729730309699,AMAZONAS
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,10.0,915.9837636287527,26.58123592162863,86.1216348518242,10.0,15.0,26.955169668492815,21.749081265402197,73.85974452495324,25.29294339652211,21.678550915068264,71.67988643921382,27.136276218238223,21.76894296173842,72.6729730309699,AMAZONAS
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,11.0,989.3681871207662,26.80131258234519,86.63208011794968,11.0,14.0,26.955169668492815,21.762205397056967,73.85974452495324,25.29294339652211,21.678550915068264,71.67988643921382,27.136276218238223,21.76894296173842,72.6729730309699,AMAZONAS
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,12.0,989.3681871207662,26.589943642043185,87.4123636194805,12.0,13.0,26.955169668492815,21.749081265402197,73.85974452495324,25.29294339652211,21.678550915068264,71.67988643921382,27.136276218238223,21.76894296173842,72.6729730309699,AMAZONAS
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1.0,707.5754892956504,25.63875855327468,90.13178949381614,1.0,24.0,29.25916236747752,26.825,84.08333333333333,31.909130018170494,25.745833333333334,86.625,31.69596961754015,26.285416666666666,85.35416666666666,AMAZONAS
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,2.0,707.5754892956504,25.79971669052997,90.03075046718291,2.0,23.0,29.25916236747752,27.504166666666663,83.82608695652173,31.909130018170494,26.291666666666668,87.58333333333333,31.69596961754015,26.897916666666667,85.70471014492753,AMAZONAS
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,3.0,-105.87910861454142,25.775017548476804,43.61818012188021,3.0,22.0,17.53261183161134,25.758333333333336,92.0,29.057741101521056,24.721739130434788,93.95652173913044,23.13423839944635,25.240036231884062,92.97826086956522,AMAZONAS
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,4.0,-105.87910861454142,26.091611572165096,0.06621054218788962,4.0,21.0,17.53261183161134,26.316666666666663,88.66666666666667,29.057741101521056,27.35,80.875,23.13423839944635,26.833333333333332,84.77083333333334,AMAZONAS
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,5.0,-77.72991804339344,25.969787283777467,0.11559139784946233,5.0,20.0,17.53261183161134,26.25,88.29166666666667,29.057741101521056,24.937500000000004,88.75,23.13423839944635,25.59375,88.52083333333334,AMAZONAS
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,6.0,-77.72991804339344,25.366800850116068,0.23061280506932677,6.0,19.0,17.53261183161134,26.241666666666664,88.45833333333333,29.057741101521056,24.129166666666663,95.25,23.13423839944635,25.18541666666666,91.85416666666666,AMAZONAS
