,Departamento,Year,Month,Rain_month,Temp_month,Humi_month,Day_primary,Day_secondary,Rain_day_prim,Temp_day_prim,Humi_day_prim,Rain_day_sec,Temp_day_sec,Humi_day_sec,Rain_day_avg,Temp_day_avg,Humi_day_avg
0,AMAZONAS,2007,5,,19.65858880928854,58.76851943346509,5,20,,,,,,,,,
1,AMAZONAS,2007,6,,24.355005028059043,79.4979051842279,6,19,,,,,,,,,
2,AMAZONAS,2007,7,,26.090863847954644,85.39401758287856,7,18,,,,,,,,,
3,AMAZONAS,2007,8,,26.532796574937183,83.1566964235637,8,17,,,,,,,,,
4,AMAZONAS,2007,9,,26.43426737233355,83.57263319197143,9,16,,,,,,,,,
5,AMAZONAS,2008,4,,25.81812664488333,88.7778915660672,4,21,,,,,,,,,
6,AMAZONAS,2008,5,,25.173357118571,89.90820074619162,5,20,,,,,,,,,
7,AMAZONAS,2008,6,,25.339587446486238,86.21974875950443,6,19,,,,,,,,,
8,AMAZONAS,2008,7,,25.739691498172647,86.531416799794,7,18,,,,,,,,,
9,AMAZONAS,2008,8,,26.425457874084227,85.31565746596995,8,17,,,,,,,,,
10,AMAZONAS,2008,9,,25.98384614510926,86.39488210440234,9,16,,,,,,,,,
11,AMAZONAS,2008,10,,26.58123592162863,86.1216348518242,10,15,,,,,,,,,
12,AMAZONAS,2008,11,,26.80131258234519,86.63208011794968,11,14,,,,,,,,,
13,AMAZONAS,2008,12,,26.589943642043185,87.4123636194805,12,13,,,,,,,,,
14,AMAZONAS,2009,1,,25.63875855327468,90.13178949381614,1,24,,26.825,84.08333333333333,,25.745833333333334,86.625,,26.285416666666666,85.35416666666666
15,AMAZONAS,2009,2,,25.79971669052997,90.03075046718291,2,23,,27.504166666666663,83.82608695652173,,26.291666666666668,87.58333333333333,,26.897916666666667,85.70471014492753
16,AMAZONAS,2009,3,,25.775017548476804,43.61818012188021,3,22,,25.758333333333336,92.0,,24.721739130434788,93.95652173913044,,25.240036231884062,92.97826086956522
17,AMAZONAS,2009,4,,26.091611572165096,0.06621054218788962,4,21,,26.316666666666663,88.66666666666667,,27.35,80.875,,26.833333333333332,84.77083333333334
18,AMAZONAS,2009,5,,25.969787283777467,0.11559139784946233,5,20,,26.25,88.29166666666667,,24.937500000000004,88.75,,25.59375,88.52083333333334
19,AMAZONAS,2009,6,,25.366800850116068,0.23061280506932677,6,19,,26.241666666666664,88.45833333333333,,24.129166666666663,95.25,,25.18541666666666,91.85416666666666
20,AMAZONAS,2009,7,,25.73201056851828,6.843533866009322,7,18,,26.47916666666667,88.91666666666667,,26.66666666666667,88.54166666666667,,26.57291666666667,88.72916666666667
21,AMAZONAS,2009,8,,26.41204934032774,86.46702018178175,8,17,,25.29583333333333,89.58333333333333,,25.05,91.75,,25.172916666666666,90.66666666666666
22,AMAZONAS,2009,9,,27.864024403239558,81.18160133948177,9,16,,25.12173913043479,92.82608695652172,,25.991304347826084,86.0,,25.55652173913044,89.41304347826086
23,AMAZONAS,2009,10,,27.50560531721899,82.88289651835825,10,15,,23.849999999999994,96.5,,25.90833333333333,88.125,,24.879166666666663,92.3125
24,AMAZONAS,2009,11,,27.722095821704958,84.0728701998866,11,14,,25.683333333333337,89.95833333333333,,24.808333333333337,93.33333333333331,,25.245833333333337,91.64583333333331
25,AMAZONAS,2009,12,,26.16305114638448,90.15488171919331,12,13,,23.5875,99.0,,25.566666666666663,90.5,,24.57708333333333,94.75
26,AMAZONAS,2010,1,,26.7270153677413,88.1387954242962,1,24,,27.691666666666663,83.0,,29.206666666666667,77.2,,28.449166666666663,80.1
27,AMAZONAS,2010,2,,27.246932513798193,88.3400043210264,2,23,,28.390476190476186,82.04761904761905,,27.30909090909091,84.63636363636364,,27.849783549783545,83.34199134199135
28,AMAZONAS,2010,3,,26.86523638855096,89.48576602690798,3,22,,25.891666666666666,91.08333333333331,,26.626086956521743,90.17391304347828,,26.258876811594206,90.6286231884058
29,AMAZONAS,2010,4,,26.65889884008906,90.44395178704674,4,21,,24.90869565217391,95.1304347826087,,24.904347826086955,95.04347826086956,,24.906521739130433,95.08695652173913
30,AMAZONAS,2010,5,,26.53796851518955,88.4884226580503,5,20,,25.686956521739127,91.47826086956522,,26.0625,92.54166666666669,,25.874728260869563,92.00996376811595
31,AMAZONAS,2010,6,,25.60577965211117,90.43103809837504,6,19,,25.81739130434783,90.2608695652174,,26.417391304347827,89.52173913043478,,26.117391304347827,89.8913043478261
32,AMAZONAS,2010,7,,24.916435887628033,88.44297250201878,7,18,,27.4875,84.25,,25.316666666666663,93.16666666666669,,26.40208333333333,88.70833333333334
33,AMAZONAS,2010,8,,26.111193741238218,85.0512196674908,8,17,,27.31875,83.9375,,24.245833333333326,96.41666666666669,,25.782291666666666,90.17708333333334
34,AMAZONAS,2010,9,,27.061475672877847,84.47136797582449,9,16,,,,,24.405,95.2,,24.405,95.2
35,AMAZONAS,2010,10,,27.032876844987644,84.28040852322059,10,15,,,,,24.40869565217391,96.78260869565216,,24.40869565217391,96.78260869565216
36,AMAZONAS,2010,11,,26.74183248112596,86.12223956630707,11,14,,,,,27.59090909090909,84.68181818181819,,27.59090909090909,84.68181818181819
37,AMAZONAS,2010,12,,26.410362264281353,87.3912085388186,12,13,,31.55,72.83333333333333,,26.59375,90.375,,29.071875,81.60416666666666
