Departamento,year,month,agg_ValorObservado
AMAZONAS,2024,8,332.9999999999999
AMAZONAS,2024,9,128.30000000000007
AMAZONAS,2024,10,1197.4000000000196
AMAZONAS,2024,11,526.1999999999955
AMAZONAS,2024,12,1407.400000000002
AMAZONAS,2025,1,1318.5999999999967
AMAZONAS,2025,2,340.2999999999967
AMAZONAS,2025,3,108.99999999999925
ANTIOQUIA,2005,1,801.6000000000001
ANTIOQUIA,2005,2,716.5000000000001
ANTIOQUIA,2005,3,831.4000000000001
ANTIOQUIA,2005,4,519.3999999999999
ANTIOQUIA,2005,5,348.50000000000006
ANTIOQUIA,2005,6,425.8
ANTIOQUIA,2005,7,247.2
ANTIOQUIA,2005,8,209.99999999999991
ANTIOQUIA,2005,9,291.3000000000001
ANTIOQUIA,2005,10,920.3999999999999
ANTIOQUIA,2005,11,473.3999999999999
ANTIOQUIA,2005,12,407.70000000000005
ANTIOQUIA,2006,1,199.49999999999991
ANTIOQUIA,2006,2,105.99999999999996
ANTIOQUIA,2006,3,342.90000000000003
ANTIOQUIA,2006,4,216.1
ANTIOQUIA,2006,5,347.99999999999983
ANTIOQUIA,2006,6,497.40000000000003
ANTIOQUIA,2006,7,106.4
ANTIOQUIA,2006,8,171.10000000000002
ANTIOQUIA,2006,9,165.89999999999992
ANTIOQUIA,2006,10,67.70000000000002
ANTIOQUIA,2006,11,107.1
ANTIOQUIA,2006,12,155.60000000000002
ANTIOQUIA,2007,1,104.39999999999995
ANTIOQUIA,2007,2,32.300000000000004
ANTIOQUIA,2007,3,842.5000000000003
ANTIOQUIA,2007,4,364.90000000000015
ANTIOQUIA,2007,5,407.2999999999998
ANTIOQUIA,2007,6,272.7999999999999
ANTIOQUIA,2007,7,371.9999999999999
ANTIOQUIA,2007,8,1209.7999999999997
ANTIOQUIA,2007,9,1084.1000000000001
ANTIOQUIA,2007,10,1093.5000000000002
ANTIOQUIA,2007,11,645.1999999999999
ANTIOQUIA,2007,12,822.1000000000003
ANTIOQUIA,2008,1,314.00000000000017
ANTIOQUIA,2008,2,456.1999999999998
ANTIOQUIA,2008,3,259.4
ANTIOQUIA,2008,4,253.7
ANTIOQUIA,2008,5,329.79999999999984
ANTIOQUIA,2008,6,414.5
ANTIOQUIA,2008,7,787.3999999999997
ANTIOQUIA,2008,8,1089.0000000000002
ANTIOQUIA,2008,9,746.4000000000001
ANTIOQUIA,2008,10,1442.3999999999996
ANTIOQUIA,2008,11,1201.0999999999997
ANTIOQUIA,2008,12,412.79999999999995
ANTIOQUIA,2009,1,663.0999999999997
ANTIOQUIA,2009,2,595.6
ANTIOQUIA,2009,3,510.50000000000017
