Departamento,year,month,agg_ValorObservado
AMAZONAS,2017,8,84.5281445448228
AMAZONAS,2017,9,86.36671469740634
AMAZONAS,2017,10,87.29857819905213
AMAZONAS,2017,11,88.90707964601769
AMAZONAS,2017,12,89.61737257717157
AMAZONAS,2018,1,89.32299012693935
AMAZONAS,2018,2,90.33983739837399
AMAZONAS,2018,3,88.24931129476585
AMAZONAS,2018,4,89.993893129771
AMAZONAS,2018,5,91.00277008310249
AMAZONAS,2018,6,85.95688456189151
AMAZONAS,2018,7,83.59400544959128
AMAZONAS,2018,8,84.97177419354838
AMAZONAS,2018,9,82.4394993045897
AMAZONAS,2018,10,88.31147540983606
AMAZONAS,2018,11,87.97551644988523
AMAZONAS,2018,12,90.29012810851545
AMAZONAS,2019,1,90.80994803266518
AMAZONAS,2019,2,90.43210862619809
AMAZONAS,2019,3,93.25454545454545
AMAZONAS,2019,4,94.84604904632153
AMAZONAS,2019,5,93.04166666666667
AMAZONAS,2019,6,93.65151515151516
AMAZONAS,2019,7,92.02382725241995
AMAZONAS,2019,8,87.1735310269083
AMAZONAS,2019,9,91.32894211576847
AMAZONAS,2019,10,92.5766323024055
AMAZONAS,2019,11,94.1899775617053
AMAZONAS,2019,12,93.42722513089005
AMAZONAS,2020,1,88.03203342618384
AMAZONAS,2020,2,89.44677661169415
AMAZONAS,2020,3,88.42595419847328
AMAZONAS,2020,4,88.8905325443787
AMAZONAS,2020,5,90.29942693409743
AMAZONAS,2020,6,89.17121212121212
AMAZONAS,2020,7,86.40694444444445
AMAZONAS,2020,8,83.68352601156069
AMAZONAS,2020,9,12.798876404494383
AMAZONAS,2020,10,11.560856658184903
AMAZONAS,2020,11,86.59356725146199
AMAZONAS,2020,12,97.83042789223455
AMAZONAS,2021,1,97.36842105263158
AMAZONAS,2021,2,98.34218030269795
AMAZONAS,2021,3,97.71616115889543
AMAZONAS,2021,4,98.71628371628371
AMAZONAS,2021,5,98.54908851306831
AMAZONAS,2021,6,93.98168789808918
AMAZONAS,2021,7,95.30696735106025
AMAZONAS,2021,8,96.59789288849868
AMAZONAS,2021,9,99.52580645161291
AMAZONAS,2021,10,100.0
AMAZONAS,2022,2,90.89855072463769
AMAZONAS,2022,3,93.5831381733021
AMAZONAS,2022,4,91.02816901408451
AMAZONAS,2022,5,88.7071547420965
AMAZONAS,2022,6,94.5
AMAZONAS,2022,8,71.46666666666667
AMAZONAS,2022,9,81.86086956521739
AMAZONAS,2022,10,90.50862068965517
AMAZONAS,2022,11,84.11111111111111
AMAZONAS,2022,12,87.1
AMAZONAS,2023,1,91.95652173913044
AMAZONAS,2023,2,92.76744186046511
AMAZONAS,2023,7,54.90594059405941
AMAZONAS,2023,8,44.35799522673031
AMAZONAS,2023,9,17.350530733152308
AMAZONAS,2023,10,17.330007601672367
AMAZONAS,2023,11,14.383135897777187
AMAZONAS,2023,12,28.337289698087115
AMAZONAS,2024,1,27.877450980392158
AMAZONAS,2024,2,33.94425897824987
AMAZONAS,2024,3,31.7413583655439
AMAZONAS,2024,4,27.97519167238048
AMAZONAS,2024,5,27.922747380675204
AMAZONAS,2024,6,27.423341335661284
AMAZONAS,2024,7,29.058045165843332
AMAZONAS,2024,8,80.82557644856632
AMAZONAS,2024,9,81.5438501953388
AMAZONAS,2024,10,83.7250315748567
AMAZONAS,2024,11,88.66465141861852
AMAZONAS,2024,12,90.46360755195364
AMAZONAS,2025,1,90.89000179179358
AMAZONAS,2025,2,91.91271486041693
AMAZONAS,2025,3,90.14101476594406
ANTIOQUIA,2004,11,84.24561403508773
