Version,Variable,Month,Departamento,n,rho,p_raw,q_FDR,sig_FDR
prim,RAIN,2,ARAUCA,10,0.44924990927960035,0.19274264513080033,0.3713091566416305,False
prim,RAIN,2,ATLANTICO,19,0.6860680864176067,0.0011818399347589908,0.009750179461761673,True
prim,RAIN,2,BOGOTA,21,-0.26620436506289,0.24345280641577174,0.3713091566416305,False
prim,RAIN,2,BOLIVAR,20,0.2978687899492801,0.2021223786467403,0.3713091566416305,False
prim,RAIN,2,BOYACA,22,0.6740332905366818,0.0005826224563379685,0.009750179461761673,True
prim,RAIN,2,CALDAS,19,0.2746182098114292,0.2551980733564218,0.3713091566416305,False
prim,RAIN,2,CAQUETA,20,0.3166345433144024,0.17377957616399456,0.3713091566416305,False
prim,RAIN,2,CASANARE,19,0.026513604527572666,0.9141999748449929,0.9141999748449929,False
prim,RAIN,2,CAUCA,20,0.6063094583595527,0.004597416424236951,0.01726802515728791,True
prim,RAIN,2,CESAR,21,0.20774945810226256,0.3661823957363908,0.4647699638192652,False
prim,RAIN,2,CHOCO,20,0.6822114058982541,0.0009208841364417088,0.009750179461761673,True
prim,RAIN,2,CORDOBA,21,0.608523549440364,0.0034203112783774605,0.01612432459806517,True
prim,RAIN,2,CUNDINAMARCA,22,0.5501271046821877,0.007986309899827867,0.02635482266943196,True
prim,RAIN,2,GUAINIA,16,-0.21157914540333994,0.43149657358448656,0.5009955747351209,False
prim,RAIN,2,GUAVIARE,5,-0.6842105263157895,0.20263069030420366,0.3713091566416305,False
prim,RAIN,2,HUILA,20,0.4969885154195062,0.025792354301088068,0.07092897432799218,False
prim,RAIN,2,LA GUAJIRA,20,0.2590706485732944,0.27004302301209493,0.3713091566416305,False
prim,RAIN,2,MAGDALENA,20,0.6050103558976598,0.0047094614065330675,0.01726802515728791,True
prim,RAIN,2,META,19,-0.188236705217101,0.4402688384035911,0.5009955747351209,False
prim,RAIN,2,NARINO,20,-0.04679278599467838,0.8446916074415537,0.884424001741678,False
prim,RAIN,2,NORTE DE SANTANDER,20,0.5424399422921855,0.013472717859615966,0.0404181535788479,True
prim,RAIN,2,PUTUMAYO,19,-0.30240919794893484,0.2082472153217975,0.3713091566416305,False
prim,RAIN,2,QUINDIO,20,0.2615007091316172,0.26541464426178,0.3713091566416305,False
prim,RAIN,2,RISARALDA,25,0.20648169616065912,0.3220381019214245,0.4250902945362804,False
prim,RAIN,2,SAN ANDRES PROVIDENCIA,13,0.14049586776859505,0.6470921115861331,0.7118013227447464,False
prim,RAIN,2,SANTANDER,21,0.2596538992970208,0.25568287304330073,0.3713091566416305,False
prim,RAIN,2,SUCRE,21,0.6265094668301427,0.0023749073029340905,0.013061990166137497,True
prim,RAIN,2,TOLIMA,21,0.4410523129661115,0.04535388897621294,0.11512910278577129,False
prim,RAIN,2,VALLE DEL CAUCA,23,0.6030802777872427,0.0023177469609045992,0.013061990166137497,True
prim,RAIN,2,VAUPES,6,-0.43482827673933633,0.3888653001289578,0.4752798112687262,False
prim,RAIN,2,VICHADA,4,-0.7378647873726218,0.2621352126273781,0.3713091566416305,False
prim,RAIN,3,AMAZONAS,16,-0.015374211745935614,0.9549346287846137,0.9692068920916377,False
prim,RAIN,3,ANTIOQUIA,21,0.6300747328087307,0.0022034351191475,0.015353031243437999,True
prim,RAIN,3,ARAUCA,10,0.3043478260869565,0.3925552615854848,0.5485450148573755,False
prim,RAIN,3,ATLANTICO,19,0.4997812355786645,0.029340107796221017,0.11275038088697754,False
prim,RAIN,3,BOGOTA,21,0.24794606323539556,0.2785016871723104,0.4951141105285518,False
prim,RAIN,3,BOLIVAR,20,0.4934602945730452,0.027032743734032055,0.11275038088697754,False
prim,RAIN,3,BOYACA,23,0.42843122956935875,0.041384142097925895,0.13242925471336287,False
prim,RAIN,3,CALDAS,19,-0.20738169109598012,0.39426672942873864,0.5485450148573755,False
prim,RAIN,3,CAQUETA,20,0.025631449944386094,0.9145798667006864,0.9692068920916377,False
prim,RAIN,3,CASANARE,20,0.043280194708701224,0.8562292621559007,0.9692068920916377,False
prim,RAIN,3,CAUCA,20,0.44977335317472344,0.04662013574355095,0.13562221307214822,False
prim,RAIN,3,CESAR,21,-0.07178172292329076,0.757167992854946,0.9318990681291642,False
prim,RAIN,3,CHOCO,20,0.4812030075187969,0.031711044624462434,0.11275038088697754,False
prim,RAIN,3,CORDOBA,21,0.8262130486393587,3.939893719382295e-06,0.00012607659902023343,True
prim,RAIN,3,CUNDINAMARCA,22,0.6133860735984147,0.002398911131787187,0.015353031243437999,True
prim,RAIN,3,GUAINIA,15,-0.0929053523869351,0.7419152904420504,0.9318990681291642,False
prim,RAIN,3,GUAVIARE,5,-0.052631578947368425,0.9330183436657281,0.9692068920916377,False
prim,RAIN,3,HUILA,21,0.39661932104035325,0.0750625154370135,0.18476926876803323,False
