Version,Variable,Month,Departamento,n,rho,p_raw,q_FDR,sig_FDR
sec,HUMI,1,CASANARE,20,0.78796992481203,3.699406473493858e-05,0.0009633841686074678,True
sec,HUMI,12,VAUPES,6,-0.7650368522374495,0.0763256359782481,0.3304717367319949,False
sec,RAIN,2,SAN ANDRES PROVIDENCIA,13,0.8999006928362342,2.786231853949756e-05,0.00038423002373096327,True
sec,RAIN,3,GUAVIARE,5,0.8947368421052632,0.040343130060753,0.1141810186373725,False
sec,RAIN,7,VICHADA,3,-0.8660254037844387,0.3333333333333332,0.6470588235294116,False
sec,RAIN,8,VICHADA,3,-0.8660254037844387,0.3333333333333332,0.6167980025025938,False
sec,RAIN,3,SUCRE,21,0.8136121538527511,7.270046385842726e-06,0.00023264148434696722,True
sec,RAIN,2,HUILA,20,0.7894552605785207,3.4930002157360295e-05,0.00038423002373096327,True
sec,RAIN,2,SUCRE,21,0.7836982219488167,2.6370253549559545e-05,0.00038423002373096327,True
sec,RAIN,12,GUAVIARE,8,0.7757718233048143,0.023657253473068383,0.19517234115281415,False
sec,RAIN,10,VICHADA,4,-0.7745966692414834,0.22540333075851657,0.40769133409772307,False
sec,RAIN,3,SAN ANDRES PROVIDENCIA,13,0.7581410804034471,0.00267162657879377,0.02137301263035016,True
sec,TEMP,1,GUAVIARE,6,1.0,0.0,0.0,True
sec,TEMP,3,VICHADA,3,1.0,0.0,0.0,True
sec,TEMP,4,GUAVIARE,4,1.0,0.0,0.0,True
sec,TEMP,4,VICHADA,3,1.0,0.0,0.0,True
sec,TEMP,1,RISARALDA,25,0.968217054263566,2.433907856714739e-15,4.0159479635793196e-14,True
sec,TEMP,1,NORTE DE SANTANDER,20,0.956390977443609,4.622988667749747e-11,3.051172520714833e-10,True
sec,TEMP,1,BOYACA,22,0.9559570863918693,4.131146750121671e-12,3.4081960688503784e-11,True
sec,TEMP,2,MAGDALENA,20,0.9533834586466164,8.33304572667919e-11,1.213088687689076e-09,True
sec,TEMP,2,NORTE DE SANTANDER,20,0.9518796992481202,1.1028078978991599e-10,1.213088687689076e-09,True
sec,TEMP,1,VALLE DEL CAUCA,23,0.9508278026867228,3.6807142835673584e-12,3.4081960688503784e-11,True
