Departamento,year,day,agg_ValorObservado
AMAZONAS,2024,10,303.56999999999925
AMAZONAS,2024,11,228.73999999999785
AMAZONAS,2024,12,258.0699999999978
AMAZONAS,2024,13,281.65999999999855
AMAZONAS,2024,14,193.71999999999832
AMAZONAS,2024,15,242.8999999999977
AMAZONAS,2025,1,75.00000000000004
AMAZONAS,2025,2,45.60000000000007
AMAZONAS,2025,3,4.6
AMAZONAS,2025,4,222.39999999999972
AMAZONAS,2025,5,46.8
AMAZONAS,2025,6,8.999999999999995
AMAZONAS,2025,7,15.799999999999999
AMAZONAS,2025,8,1.2
AMAZONAS,2025,9,97.4
AMAZONAS,2025,10,12.799999999999994
AMAZONAS,2025,11,144.79999999999993
AMAZONAS,2025,12,0.6
AMAZONAS,2025,13,24.99999999999997
AMAZONAS,2025,14,23.0
AMAZONAS,2025,15,0.0
ANTIOQUIA,2005,1,0.0
ANTIOQUIA,2005,2,3.3000000000000003
ANTIOQUIA,2005,3,1.6000000000000003
ANTIOQUIA,2005,4,24.100000000000005
ANTIOQUIA,2005,5,23.2
ANTIOQUIA,2005,6,43.400000000000006
ANTIOQUIA,2005,7,33.800000000000004
ANTIOQUIA,2005,8,0.6000000000000001
ANTIOQUIA,2005,9,37.50000000000001
ANTIOQUIA,2005,10,3.4000000000000004
ANTIOQUIA,2005,11,32.8
ANTIOQUIA,2005,12,138.29999999999995
ANTIOQUIA,2005,13,2.3000000000000003
ANTIOQUIA,2005,14,52.9
ANTIOQUIA,2005,15,8.799999999999999
ANTIOQUIA,2006,1,0.0
ANTIOQUIA,2006,2,5.5
ANTIOQUIA,2006,3,27.5
ANTIOQUIA,2006,4,7.6
ANTIOQUIA,2006,5,7.999999999999998
ANTIOQUIA,2006,6,25.200000000000003
ANTIOQUIA,2006,7,7.399999999999999
ANTIOQUIA,2006,8,0.8999999999999999
ANTIOQUIA,2006,9,0.2
ANTIOQUIA,2006,10,17.8
ANTIOQUIA,2006,11,1.4000000000000004
ANTIOQUIA,2006,12,0.1
ANTIOQUIA,2006,13,0.0
ANTIOQUIA,2006,14,2.0
ANTIOQUIA,2006,15,1.2
ANTIOQUIA,2007,1,1.9000000000000001
ANTIOQUIA,2007,2,25.500000000000004
ANTIOQUIA,2007,3,0.0
ANTIOQUIA,2007,4,4.6
ANTIOQUIA,2007,5,0.0
ANTIOQUIA,2007,6,0.0
ANTIOQUIA,2007,7,16.900000000000002
ANTIOQUIA,2007,8,0.1
ANTIOQUIA,2007,9,0.0
ANTIOQUIA,2007,10,0.0
ANTIOQUIA,2007,11,0.0
