Variable,Model,Mean_Skill,Median_Skill
HUMI,RF,0.10930510214124381,0.07028898118395233
HUMI,Ridge,0.09139207354557936,0.03752642575327858
HUMI,HGB,0.041637549369872025,-0.00598596242798588
RAIN,RF,0.22211258799702158,0.2428524408672087
RAIN,HGB,0.07849059036409323,0.07623375376641783
RAIN,Ridge,-0.011959147177422918,0.09271930946215856
TEMP,Ridge,0.06015861356051802,0.09153776281357462
TEMP,HGB,0.026039658606830784,0.06150148899156027
TEMP,RF,0.02311159273803478,0.05752612744384311
