Variable,Month,Baseline,Model,RMSE_model,RMSE_baseline,Skill,R2,CI_low,CI_high,DM_stat,DM_p
RAIN,3,Persist,Ridge,19760053.38326059,92958253.3723387,0.7874308878834795,0.2994687210464083,-9.006723897819732,0.943968817531584,-0.866360269534258,0.39769420924080734
RAIN,3,Persist,RF,20060754.98917093,92958253.3723387,0.7841960852166748,0.2888082801819003,,,,
RAIN,3,Persist,HGB,24188594.317294776,92958253.3723387,0.7397907830689459,0.14246856602428715,,,,
RAIN,4,Baseline,Ridge,78262298.26280656,30759978.963802617,-1.544289719928066,-1.5682783937879554,-11.057321164205975,0.298756181923145,0.9083965654977731,0.37567111762874905
RAIN,4,Baseline,RF,24689178.941491906,30759978.963802617,0.19736034375883804,0.18979270679132831,,,,
RAIN,4,Baseline,HGB,24952237.8393029,30759978.963802617,0.1888083581375034,0.1811600893172931,,,,
RAIN,4,DeptClim,Ridge,78262298.26280656,29771665.675248586,-1.628751078844469,-1.5682783937879554,-11.124958186082269,0.3943864647568887,0.9169607537793903,0.3712862675026667
RAIN,4,DeptClim,RF,24689178.941491906,29771665.675248586,0.1707155652356439,0.18979270679132831,,,,
RAIN,4,DeptClim,HGB,24952237.8393029,29771665.675248586,0.16187968414385479,0.1811600893172931,,,,
RAIN,4,Persist,Ridge,78262298.26280656,33955609.81254372,-1.3048414884863968,-1.5682783937879554,-5.680757030802366,0.7553233684122277,0.9064162561530371,0.37668995395395855
RAIN,4,Persist,RF,24689178.941491906,33955609.81254372,0.27289837886017454,0.18979270679132831,,,,
RAIN,4,Persist,HGB,24952237.8393029,33955609.81254372,0.265151237835076,0.1811600893172931,,,,
RAIN,5,Baseline,Ridge,306712449.6088622,104464369.34849401,-1.9360484490713472,-1.9568970767550389,-44.30253194178666,0.4107960112648337,0.9536224754776597,0.35290665512056063
RAIN,5,Baseline,RF,95910633.09379399,104464369.34849401,0.08188185414841953,0.07536237610691965,,,,
RAIN,5,Baseline,HGB,102809216.83526087,104464369.34849401,0.015844182313603405,0.00885577644033786,,,,
RAIN,5,DeptClim,Ridge,306712449.6088622,106782096.24231894,-1.87232092646734,-1.9568970767550389,-30.085594434836633,0.613394912356372,0.9413494369145965,0.3589888548482252
RAIN,5,DeptClim,RF,95910633.09379399,106782096.24231894,0.10180979331829665,0.07536237610691965,,,,
RAIN,5,DeptClim,HGB,102809216.83526087,106782096.24231894,0.037205482443821714,0.00885577644033786,,,,
RAIN,5,Persist,Ridge,306712449.6088622,28850682.428519666,-9.631029278727523,-1.9568970767550389,-214.90463947230583,-0.9642552304465553,1.2784620859446212,0.21732598263469782
RAIN,5,Persist,RF,95910633.09379399,28850682.428519666,-2.324380049983975,0.07536237610691965,,,,
RAIN,5,Persist,HGB,102809216.83526087,28850682.428519666,-2.5634934144098867,0.00885577644033786,,,,
